name,latitude,longitude,Furnace Type
Action Ispat and Power Pvt Ltd,21.839759,83.982227,DRI
Mahanada Suppliers Pvt Ltd,22.308371,84.763584,BF/BOF
ArcelorMittal SA,15.139498,76.918417,Unspecified
ArcelorMittal SA,17.407103,82.723183,BF/BOF
ArcelorMittal SA,20.168486,79.987119,EAF
ArcelorMittal SA,21.112377,72.647304,BF/BOF
ArcelorMittal SA,20.71042,86.282806,BF/BOF
ArcelorMittal SA,20.284771,86.658266,Unspecified
ADV Partners Holdings Ltd,14.873471,78.048425,BF/BOF
Sribir Group of Companies,24.145239,86.334999,BF/BOF
Baldota Steel and Power Ltd,15.332616,76.206778,BF/BOF
JSW Projects Ltd,15.16972,76.37971,BF/BOF
Captain Steel India Ltd,22.855859,87.345018,Unspecified
Atha Group,21.190313,81.19922,BF/BOF
small shareholder(s),23.632907,86.293671,BF/BOF
Electrosteel Castings Ltd,13.717188,79.630588,BF/BOF
AB CarVal Investors LP,20.704605,78.620293,BF/BOF
AB CarVal Investors LP,20.696412,78.638548,EAF
Gallantt Ispat Ltd,26.757009,83.199086,DRI
Godawari Power and Ispat Ltd,21.565032,81.739447,BF/BOF
Godawari Power and Ispat Ltd,21.376214,81.681888,BF/BOF
Kalyani Steels Ltd,15.339055,76.251696,BF/BOF
Jai Balaji Industries Ltd,23.483075,87.352189,BF/BOF
Jai Balaji Industries Ltd,22.085338,84.86184,EAF
Jai Balaji Industries Ltd,23.487439,87.369494,BF/BOF
Jai Balaji Industries Ltd,23.331734,86.363224,BF/BOF
Jayaswal Neco Industries Ltd,21.354495,81.676444,BF/BOF
Jindal Stainless Ltd,29.127253,75.773075,EAF
Jindal Stainless Ltd,20.954939,86.051986,BF/BOF
Jindal Steel & Power Ltd,20.874713,84.944082,BF/BOF
Jindal Steel & Power Ltd,20.884896,84.991539,BF/BOF
Jindal Steel & Power Ltd,24.131037,87.438728,BF/BOF
Jindal Steel & Power Ltd,14.254675,80.108702,BF/BOF
Jindal Steel & Power Ltd,23.632991,85.325308,BF/BOF
Jindal Steel & Power Ltd,21.922703,83.347178,BF/BOF
JSW Steel Ltd,22.575726,87.310258,BF/BOF
JSW Shipping & Logistics Pvt Ltd,22.665526,85.64622,EAF
JSW Steel Ltd,21.763989,84.022529,BF/BOF
JFE Holdings Inc,15.042769,76.445529,Unspecified
JSW Steel Ltd,14.76855,78.403263,EAF
JSW Steel Ltd,20.248632,86.156416,Unspecified
JSW Steel Ltd,18.690312,73.035902,BF/BOF
JSW Steel Ltd,20.1846793,79.9957641,Unspecified
